"UF";"Mês/Ano";"Valor Transferido";"Programa Social";
"SE";"10/2017";"- 46.387,82";"Seguro Defeso";
"AC";"08/2016";"- 32.647,40";"Seguro Defeso";
"PE";"11/2016";"- 15.935,57";"Seguro Defeso";
"RR";"04/2016";"- 7.917,95";"Seguro Defeso";
"Inválido";"01/2022";"- 6.631,78";"Seguro Defeso";
"AC";"11/2016";"- 6.419,80";"Seguro Defeso";
"PB";"10/2016";"- 6.110,35";"Seguro Defeso";
"AC";"02/2016";"- 5.095,83";"Seguro Defeso";
"AC";"11/2021";"- 3.300,00";"Seguro Defeso";
"AC";"04/2016";"- 3.099,05";"Seguro Defeso";
"Inválido";"10/2016";"- 3.055,28";"Seguro Defeso";
"TO";"11/2017";"- 2.528,21";"Seguro Defeso";
"Inválido";"02/2016";"- 2.261,69";"Seguro Defeso";
"Inválido";"09/2021";"- 1.872,94";"Seguro Defeso";
"RN";"08/2016";"- 1.830,81";"Seguro Defeso";
"Inválido";"04/2016";"- 1.673,68";"Seguro Defeso";
"RR";"01/2019";"- 1.672,82";"Seguro Defeso";
"PE";"06/2016";"- 1.586,09";"Seguro Defeso";
"RO";"06/2016";"- 1.567,46";"Seguro Defeso";
"Inválido";"03/2016";"- 1.298,44";"Seguro Defeso";
"Inválido";"01/2016";"- 1.249,72";"Seguro Defeso";
"TO";"11/2018";"- 983,80";"Seguro Defeso";
"RN";"11/2016";"- 974,85";"Seguro Defeso";
"Inválido";"12/2018";"- 954,00";"Seguro Defeso";
"RO";"05/2016";"- 880,94";"Seguro Defeso";
"AM";"08/2016";"- 800,22";"Seguro Defeso";
"AC";"07/2016";"- 795,13";"Seguro Defeso";
"PI";"07/2016";"- 784,04";"Seguro Defeso";
"RR";"12/2016";"- 702,87";"Seguro Defeso";
"MS";"11/2016";"- 645,20";"Seguro Defeso";
"Inválido";"03/2017";"- 575,96";"Seguro Defeso";
"AM";"10/2016";"- 567,91";"Seguro Defeso";
"RO";"11/2016";"- 518,12";"Seguro Defeso";
"Inválido";"05/2016";"- 498,76";"Seguro Defeso";
"AC";"05/2016";"- 107,67";"Seguro Defeso";
"MG";"10/2019";"25,00";"PETI";
"PE";"01/2020";"25,00";"PETI";
"MS";"01/2020";"25,00";"PETI";
"SE";"01/2019";"25,00";"PETI";
"MS";"05/2021";"25,00";"PETI";
"SE";"12/2018";"25,00";"PETI";
"SE";"04/2019";"25,00";"PETI";
"MG";"07/2021";"25,00";"PETI";
"MT";"07/2020";"25,00";"PETI";
"ES";"04/2020";"25,00";"PETI";
"MG";"12/2019";"25,00";"PETI";
"AM";"08/2018";"25,00";"PETI";
"MG";"04/2020";"25,00";"PETI";
"CE";"08/2019";"25,00";"PETI";
"MG";"07/2020";"25,00";"PETI";
"SE";"09/2018";"25,00";"PETI";
"MG";"01/2020";"25,00";"PETI";
"SE";"05/2019";"25,00";"PETI";
"AM";"04/2018";"25,00";"PETI";
