"UF";"Mês/Ano";"Valor Transferido";"Programa Social";
"MG";"05/2021";"25,00";"PETI";
"ES";"03/2020";"25,00";"PETI";
"TO";"12/2019";"25,00";"PETI";
"MG";"03/2020";"25,00";"PETI";
"AM";"01/2018";"25,00";"PETI";
"CE";"05/2019";"25,00";"PETI";
"AL";"09/2021";"25,00";"PETI";
"MG";"06/2021";"25,00";"PETI";
"MG";"09/2021";"25,00";"PETI";
"SE";"10/2018";"25,00";"PETI";
"TO";"10/2019";"25,00";"PETI";
"AL";"05/2021";"25,00";"PETI";
"MS";"03/2020";"25,00";"PETI";
"SE";"08/2019";"25,00";"PETI";
"CE";"04/2019";"25,00";"PETI";
"AM";"06/2018";"25,00";"PETI";
"CE";"09/2019";"25,00";"PETI";
"MG";"10/2021";"25,00";"PETI";
"MT";"04/2021";"25,00";"PETI";
"AL";"07/2021";"25,00";"PETI";
"MT";"05/2021";"25,00";"PETI";
"MS";"01/2021";"25,00";"PETI";
"MT";"06/2021";"25,00";"PETI";
"SE";"02/2019";"25,00";"PETI";
"TO";"01/2020";"25,00";"PETI";
"TO";"09/2019";"25,00";"PETI";
"CE";"10/2019";"25,00";"PETI";
"SE";"08/2018";"25,00";"PETI";
"ES";"02/2020";"25,00";"PETI";
"ES";"01/2020";"25,00";"PETI";
"RJ";"07/2020";"25,00";"PETI";
"AL";"10/2021";"25,00";"PETI";
"MS";"06/2021";"25,00";"PETI";
"MS";"02/2020";"25,00";"PETI";
"MS";"08/2020";"25,00";"PETI";
"MT";"01/2021";"25,00";"PETI";
"AL";"06/2021";"25,00";"PETI";
"PE";"03/2020";"25,00";"PETI";
"MS";"07/2021";"25,00";"PETI";
"MS";"04/2021";"25,00";"PETI";
"AL";"02/2021";"25,00";"PETI";
"SE";"03/2019";"25,00";"PETI";
"PE";"02/2020";"25,00";"PETI";
"MG";"12/2020";"25,00";"PETI";
"MT";"02/2021";"25,00";"PETI";
"MG";"02/2020";"25,00";"PETI";
"MS";"10/2020";"25,00";"PETI";
"AL";"08/2021";"25,00";"PETI";
"AM";"07/2018";"25,00";"PETI";
"MG";"01/2021";"25,00";"PETI";
"MG";"02/2021";"25,00";"PETI";
"RJ";"08/2020";"25,00";"PETI";
"MT";"08/2020";"25,00";"PETI";
"MS";"12/2020";"25,00";"PETI";
"MT";"07/2021";"25,00";"PETI";
"MT";"11/2020";"25,00";"PETI";
"MG";"08/2021";"25,00";"PETI";
"MS";"11/2020";"25,00";"PETI";
"ES";"12/2019";"25,00";"PETI";
"MG";"08/2020";"25,00";"PETI";
"RJ";"09/2020";"25,00";"PETI";
"MS";"04/2020";"25,00";"PETI";
"MS";"07/2020";"25,00";"PETI";
"AL";"04/2021";"25,00";"PETI";
"MG";"03/2021";"25,00";"PETI";
"MS";"03/2021";"25,00";"PETI";
"MS";"09/2020";"25,00";"PETI";
"MG";"09/2020";"25,00";"PETI";
"MS";"06/2020";"25,00";"PETI";
"MG";"10/2020";"25,00";"PETI";
"MT";"03/2021";"25,00";"PETI";
"MT";"12/2020";"25,00";"PETI";
"MS";"02/2021";"25,00";"PETI";
"MG";"04/2021";"25,00";"PETI";
"RJ";"10/2020";"25,00";"PETI";
"MT";"10/2020";"25,00";"PETI";
"MG";"11/2020";"25,00";"PETI";
"AM";"02/2018";"25,00";"PETI";
"SE";"06/2019";"25,00";"PETI";
"AL";"03/2021";"25,00";"PETI";
"AM";"03/2018";"25,00";"PETI";
"BA";"12/2021";"25,00";"PETI";
"MT";"06/2020";"25,00";"PETI";
"RJ";"06/2020";"25,00";"PETI";
"MT";"09/2020";"25,00";"PETI";
"SE";"07/2019";"25,00";"PETI";
"AC";"10/2016";"25,00";"PETI";
"AM";"05/2018";"25,00";"PETI";
"MG";"11/2021";"25,00";"PETI";
"CE";"11/2019";"25,00";"PETI";
"RJ";"05/2020";"25,00";"PETI";
"MG";"12/2021";"25,00";"PETI";
"MS";"05/2020";"25,00";"PETI";
"AL";"11/2021";"25,00";"PETI";
"MG";"05/2020";"25,00";"PETI";
"MG";"06/2020";"25,00";"PETI";
"SE";"11/2018";"25,00";"PETI";
"CE";"07/2019";"25,00";"PETI";
"MG";"11/2019";"25,00";"PETI";
"TO";"11/2019";"25,00";"PETI";
"CE";"06/2019";"25,00";"PETI";
"PA";"01/2021";"40,00";"PETI";
"RN";"04/2020";"40,00";"PETI";
"RO";"04/2018";"40,00";"PETI";
"RS";"10/2019";"40,00";"PETI";
"PA";"07/2020";"40,00";"PETI";
"RS";"07/2020";"40,00";"PETI";
"SP";"09/2021";"40,00";"PETI";
"RS";"12/2019";"40,00";"PETI";
"RN";"01/2021";"40,00";"PETI";
"RS";"04/2020";"40,00";"PETI";
"RN";"03/2020";"40,00";"PETI";
"RR";"12/2018";"40,00";"PETI";
"GO";"05/2022";"40,00";"PETI";
"RR";"10/2018";"40,00";"PETI";
"RS";"09/2021";"40,00";"PETI";
"RO";"08/2018";"40,00";"PETI";
"RS";"03/2020";"40,00";"PETI";
"SP";"05/2021";"40,00";"PETI";
"RS";"01/2020";"40,00";"PETI";
"SC";"09/2021";"40,00";"PETI";
"PA";"05/2021";"40,00";"PETI";
"PA";"06/2021";"40,00";"PETI";
"PA";"07/2021";"40,00";"PETI";
"RS";"06/2021";"40,00";"PETI";
"SP";"07/2021";"40,00";"PETI";
"RS";"09/2019";"40,00";"PETI";
"SC";"05/2022";"40,00";"PETI";
"RN";"07/2020";"40,00";"PETI";
"RS";"05/2021";"40,00";"PETI";
"RN";"12/2020";"40,00";"PETI";
"SC";"01/2022";"40,00";"PETI";
"RS";"02/2021";"40,00";"PETI";
"RO";"09/2018";"40,00";"PETI";
"SC";"02/2022";"40,00";"PETI";
"GO";"02/2022";"40,00";"PETI";
"RS";"08/2021";"40,00";"PETI";
"RS";"02/2020";"40,00";"PETI";
"PA";"12/2020";"40,00";"PETI";
"RS";"01/2021";"40,00";"PETI";
"RN";"08/2020";"40,00";"PETI";
"PA";"08/2020";"40,00";"PETI";
"RO";"06/2018";"40,00";"PETI";
"PA";"11/2020";"40,00";"PETI";
"SP";"06/2021";"40,00";"PETI";
"PA";"04/2021";"40,00";"PETI";
"RS";"07/2021";"40,00";"PETI";
"PA";"03/2021";"40,00";"PETI";
"SP";"08/2021";"40,00";"PETI";
"RN";"06/2020";"40,00";"PETI";
"RS";"04/2021";"40,00";"PETI";
"RO";"07/2018";"40,00";"PETI";
"RS";"08/2020";"40,00";"PETI";
"SP";"10/2021";"40,00";"PETI";
"GO";"03/2022";"40,00";"PETI";
"RS";"12/2020";"40,00";"PETI";
"RS";"09/2020";"40,00";"PETI";
"RN";"11/2020";"40,00";"PETI";
"RS";"03/2021";"40,00";"PETI";
"RS";"10/2021";"40,00";"PETI";
"PA";"06/2020";"40,00";"PETI";
"RS";"06/2020";"40,00";"PETI";
"PA";"02/2021";"40,00";"PETI";
"RS";"10/2020";"40,00";"PETI";
"RN";"05/2020";"40,00";"PETI";
"RN";"09/2020";"40,00";"PETI";
"PA";"09/2020";"40,00";"PETI";
"SC";"10/2021";"40,00";"PETI";
"RN";"10/2020";"40,00";"PETI";
"RS";"11/2020";"40,00";"PETI";
"PA";"10/2020";"40,00";"PETI";
"SP";"11/2021";"40,00";"PETI";
"RS";"11/2021";"40,00";"PETI";
"SC";"03/2022";"40,00";"PETI";
"SC";"04/2022";"40,00";"PETI";
"SC";"12/2021";"40,00";"PETI";
"RR";"11/2018";"40,00";"PETI";
"GO";"04/2022";"40,00";"PETI";
"SC";"11/2021";"40,00";"PETI";
"RO";"05/2018";"40,00";"PETI";
"RS";"11/2019";"40,00";"PETI";
"RS";"05/2020";"40,00";"PETI";
"PR";"11/2021";"40,00";"PETI";
"ES";"10/2019";"50,00";"PETI";
"BA";"06/2021";"50,00";"PETI";
"PI";"05/2021";"50,00";"PETI";
"MA";"01/2019";"50,00";"PETI";
"ES";"04/2019";"50,00";"PETI";
"RJ";"01/2019";"50,00";"PETI";
"MT";"01/2020";"50,00";"PETI";
"ES";"05/2019";"50,00";"PETI";
"PI";"07/2020";"50,00";"PETI";
"RJ";"03/2020";"50,00";"PETI";
"RJ";"12/2019";"50,00";"PETI";
"RJ";"04/2019";"50,00";"PETI";
"MT";"12/2019";"50,00";"PETI";
"SC";"06/2021";"50,00";"PETI";
"MT";"03/2020";"50,00";"PETI";
"MA";"09/2018";"50,00";"PETI";
"MT";"10/2019";"50,00";"PETI";
"SC";"05/2021";"50,00";"PETI";
"MT";"04/2020";"50,00";"PETI";
"PI";"01/2020";"50,00";"PETI";
"TO";"05/2019";"50,00";"PETI";
"PI";"04/2019";"50,00";"PETI";
"BA";"05/2021";"50,00";"PETI";
"BA";"07/2021";"50,00";"PETI";
"SC";"03/2021";"50,00";"PETI";
"PI";"06/2021";"50,00";"PETI";
"MS";"08/2019";"50,00";"PETI";
"BA";"04/2021";"50,00";"PETI";
"MA";"12/2018";"50,00";"PETI";
"PI";"03/2020";"50,00";"PETI";
"AL";"07/2020";"50,00";"PETI";
"MS";"10/2019";"50,00";"PETI";
"TO";"08/2019";"50,00";"PETI";
"PI";"02/2020";"50,00";"PETI";
"PI";"05/2019";"50,00";"PETI";
"SC";"07/2021";"50,00";"PETI";
"RJ";"08/2019";"50,00";"PETI";
"RJ";"04/2020";"50,00";"PETI";
"PI";"04/2020";"50,00";"PETI";
"RJ";"10/2019";"50,00";"PETI";
"BA";"09/2021";"50,00";"PETI";
"ES";"08/2019";"50,00";"PETI";
"PI";"12/2019";"50,00";"PETI";
"PI";"07/2021";"50,00";"PETI";
"MA";"10/2018";"50,00";"PETI";
"PI";"10/2019";"50,00";"PETI";
"AL";"01/2021";"50,00";"PETI";
"MS";"12/2019";"50,00";"PETI";
"RJ";"01/2020";"50,00";"PETI";
"RJ";"09/2019";"50,00";"PETI";
"ES";"09/2019";"50,00";"PETI";
"PI";"12/2020";"50,00";"PETI";
"RJ";"02/2020";"50,00";"PETI";
"RJ";"02/2019";"50,00";"PETI";
"SC";"02/2021";"50,00";"PETI";
"PI";"08/2019";"50,00";"PETI";
"AM";"12/2017";"50,00";"PETI";
"MT";"02/2020";"50,00";"PETI";
"AP";"03/2016";"50,00";"PETI";
"PI";"09/2019";"50,00";"PETI";
"ES";"03/2019";"50,00";"PETI";
"PI";"01/2021";"50,00";"PETI";
"MS";"09/2019";"50,00";"PETI";
"SC";"04/2021";"50,00";"PETI";
"AP";"04/2016";"50,00";"PETI";
"AP";"05/2016";"50,00";"PETI";
"AP";"01/2016";"50,00";"PETI";
"RJ";"05/2019";"50,00";"PETI";
"BA";"08/2021";"50,00";"PETI";
"PI";"02/2021";"50,00";"PETI";
"AL";"08/2020";"50,00";"PETI";
"PI";"11/2020";"50,00";"PETI";
"BA";"03/2021";"50,00";"PETI";
"AL";"11/2020";"50,00";"PETI";
"AL";"12/2020";"50,00";"PETI";
"BA";"10/2021";"50,00";"PETI";
"PI";"10/2020";"50,00";"PETI";
"AL";"09/2020";"50,00";"PETI";
"AP";"06/2016";"50,00";"PETI";
"ES";"11/2019";"50,00";"PETI";
"ES";"06/2019";"50,00";"PETI";
"PI";"08/2020";"50,00";"PETI";
"AP";"02/2016";"50,00";"PETI";
"TO";"06/2019";"50,00";"PETI";
"PI";"11/2019";"50,00";"PETI";
"RJ";"11/2019";"50,00";"PETI";
"AP";"08/2016";"50,00";"PETI";
"ES";"07/2019";"50,00";"PETI";
"PI";"03/2021";"50,00";"PETI";
"AL";"06/2020";"50,00";"PETI";
"RJ";"07/2019";"50,00";"PETI";
"MA";"11/2018";"50,00";"PETI";
"RJ";"03/2019";"50,00";"PETI";
"PI";"07/2019";"50,00";"PETI";
"PI";"06/2020";"50,00";"PETI";
"TO";"07/2019";"50,00";"PETI";
"MS";"11/2019";"50,00";"PETI";
"RJ";"06/2019";"50,00";"PETI";
"AP";"09/2016";"50,00";"PETI";
"AL";"10/2020";"50,00";"PETI";
"PI";"04/2021";"50,00";"PETI";
"PI";"06/2019";"50,00";"PETI";
"MT";"11/2019";"50,00";"PETI";
"AM";"10/2017";"50,00";"PETI";
"BA";"11/2021";"50,00";"PETI";
"PI";"09/2020";"50,00";"PETI";
"AP";"07/2016";"50,00";"PETI";
"AM";"11/2017";"50,00";"PETI";
"MS";"07/2019";"50,00";"PETI";
"PI";"05/2020";"50,00";"PETI";
"MT";"05/2020";"50,00";"PETI";
"PE";"11/2017";"64,14";"Seguro Defeso";
"RS";"08/2019";"65,00";"PETI";
"PA";"04/2020";"65,00";"PETI";
"SE";"01/2018";"65,00";"PETI";
"PA";"03/2020";"65,00";"PETI";
"SE";"06/2018";"65,00";"PETI";
"SE";"12/2017";"65,00";"PETI";
"SE";"07/2018";"65,00";"PETI";
"SE";"04/2018";"65,00";"PETI";
"CE";"03/2019";"65,00";"PETI";
"RO";"03/2018";"65,00";"PETI";
"SE";"03/2018";"65,00";"PETI";
"CE";"02/2019";"65,00";"PETI";
"SE";"02/2018";"65,00";"PETI";
"PA";"05/2020";"65,00";"PETI";
"SE";"11/2017";"65,00";"PETI";
"SE";"05/2018";"65,00";"PETI";
"MT";"05/2019";"75,00";"PETI";
"PB";"06/2021";"75,00";"PETI";
"PI";"01/2019";"75,00";"PETI";
"AL";"10/2019";"75,00";"PETI";
"AL";"03/2020";"75,00";"PETI";
"AL";"04/2020";"75,00";"PETI";
"AL";"01/2020";"75,00";"PETI";
"ES";"01/2019";"75,00";"PETI";
"AL";"12/2019";"75,00";"PETI";
"PI";"02/2019";"75,00";"PETI";
"TO";"01/2019";"75,00";"PETI";
"PB";"05/2021";"75,00";"PETI";
"TO";"10/2018";"75,00";"PETI";
"TO";"02/2019";"75,00";"PETI";
"PI";"12/2018";"75,00";"PETI";
"ES";"02/2019";"75,00";"PETI";
"AL";"09/2019";"75,00";"PETI";
"TO";"09/2018";"75,00";"PETI";
"SC";"08/2020";"75,00";"PETI";
"TO";"12/2018";"75,00";"PETI";
"TO";"04/2019";"75,00";"PETI";
"PE";"12/2019";"75,00";"PETI";
"PB";"07/2021";"75,00";"PETI";
"PI";"03/2019";"75,00";"PETI";
"BA";"02/2021";"75,00";"PETI";
"MT";"08/2019";"75,00";"PETI";
"SC";"01/2021";"75,00";"PETI";
"PB";"01/2021";"75,00";"PETI";
"PB";"08/2020";"75,00";"PETI";
"TO";"03/2019";"75,00";"PETI";
"AL";"02/2020";"75,00";"PETI";
"MA";"08/2018";"75,00";"PETI";
"SC";"12/2020";"75,00";"PETI";
"PB";"02/2021";"75,00";"PETI";
"SC";"10/2020";"75,00";"PETI";
"PB";"03/2021";"75,00";"PETI";
"SC";"11/2020";"75,00";"PETI";
"MT";"09/2019";"75,00";"PETI";
"PB";"09/2020";"75,00";"PETI";
"PB";"11/2020";"75,00";"PETI";
"PB";"10/2020";"75,00";"PETI";
"PB";"12/2020";"75,00";"PETI";
"MT";"06/2019";"75,00";"PETI";
"MT";"07/2019";"75,00";"PETI";
"PB";"04/2021";"75,00";"PETI";
"TO";"11/2018";"75,00";"PETI";
"SC";"09/2020";"75,00";"PETI";
"PE";"11/2019";"75,00";"PETI";
"AL";"05/2020";"75,00";"PETI";
"AL";"11/2019";"75,00";"PETI";
"RN";"02/2020";"80,00";"PETI";
"SP";"01/2021";"80,00";"PETI";
"RR";"08/2018";"80,00";"PETI";
"SP";"07/2020";"80,00";"PETI";
"RN";"01/2020";"80,00";"PETI";
"RN";"10/2019";"80,00";"PETI";
"RR";"09/2018";"80,00";"PETI";
"PB";"09/2021";"80,00";"PETI";
"RN";"12/2019";"80,00";"PETI";
"SP";"02/2021";"80,00";"PETI";
"SP";"08/2020";"80,00";"PETI";
"SP";"04/2021";"80,00";"PETI";
"SP";"11/2020";"80,00";"PETI";
"SP";"12/2020";"80,00";"PETI";
"PB";"10/2021";"80,00";"PETI";
"SC";"08/2021";"80,00";"PETI";
"SP";"03/2021";"80,00";"PETI";
"SP";"10/2020";"80,00";"PETI";
"SP";"09/2020";"80,00";"PETI";
"RN";"11/2019";"80,00";"PETI";
"SP";"06/2020";"80,00";"PETI";
"PB";"12/2021";"80,00";"PETI";
"PB";"11/2021";"80,00";"PETI";
"CE";"01/2019";"90,00";"PETI";
"RS";"05/2019";"90,00";"PETI";
"CE";"12/2018";"90,00";"PETI";
"RS";"06/2019";"90,00";"PETI";
"RS";"07/2019";"90,00";"PETI";
"SC";"07/2020";"100,00";"PETI";
"PE";"10/2019";"100,00";"PETI";
"PB";"07/2020";"100,00";"PETI";
"TO";"08/2018";"100,00";"PETI";
"AL";"01/2019";"100,00";"PETI";
"AM";"02/2017";"100,00";"PETI";
"BA";"01/2021";"100,00";"PETI";
"AL";"05/2019";"100,00";"PETI";
"ES";"10/2018";"100,00";"PETI";
"PI";"10/2018";"100,00";"PETI";
"AM";"06/2017";"100,00";"PETI";
"AM";"08/2017";"100,00";"PETI";
"AL";"12/2018";"100,00";"PETI";
"AL";"04/2019";"100,00";"PETI";
"ES";"12/2018";"100,00";"PETI";
"AL";"08/2019";"100,00";"PETI";
"MA";"06/2018";"100,00";"PETI";
"MG";"08/2019";"100,00";"PETI";
"TO";"06/2018";"100,00";"PETI";
"AM";"03/2017";"100,00";"PETI";
"MG";"09/2019";"100,00";"PETI";
"AL";"02/2019";"100,00";"PETI";
"AL";"03/2019";"100,00";"PETI";
"TO";"07/2018";"100,00";"PETI";
"AM";"05/2017";"100,00";"PETI";
"PE";"09/2019";"100,00";"PETI";
"BA";"12/2020";"100,00";"PETI";
"BA";"11/2020";"100,00";"PETI";
"AM";"07/2017";"100,00";"PETI";
"MA";"07/2018";"100,00";"PETI";
"AM";"09/2017";"100,00";"PETI";
"AM";"04/2017";"100,00";"PETI";
"PI";"11/2018";"100,00";"PETI";
"ES";"11/2018";"100,00";"PETI";
"AL";"11/2018";"100,00";"PETI";
"AL";"06/2019";"100,00";"PETI";
"AL";"07/2019";"100,00";"PETI";
"PA";"10/2019";"105,00";"PETI";
"SP";"01/2020";"105,00";"PETI";
"RO";"01/2018";"105,00";"PETI";
"SP";"12/2019";"105,00";"PETI";
"SP";"03/2020";"105,00";"PETI";
"SP";"10/2019";"105,00";"PETI";
"PA";"01/2020";"105,00";"PETI";
"SP";"08/2019";"105,00";"PETI";
"SP";"04/2020";"105,00";"PETI";
"PA";"12/2019";"105,00";"PETI";
"SP";"09/2019";"105,00";"PETI";
"RO";"12/2017";"105,00";"PETI";
"SP";"02/2020";"105,00";"PETI";
"RO";"02/2018";"105,00";"PETI";
"PA";"02/2020";"105,00";"PETI";
"SE";"10/2017";"105,00";"PETI";
"SP";"11/2019";"105,00";"PETI";
"PA";"11/2019";"105,00";"PETI";
"SE";"09/2017";"105,00";"PETI";
"SP";"05/2020";"105,00";"PETI";
"RO";"10/2017";"105,00";"PETI";
"RO";"11/2017";"105,00";"PETI";
"RR";"04/2018";"120,00";"PETI";
"GO";"01/2022";"120,00";"PETI";
"GO";"09/2021";"120,00";"PETI";
"RR";"06/2018";"120,00";"PETI";
"PB";"08/2021";"120,00";"PETI";
"RR";"07/2018";"120,00";"PETI";
"RN";"09/2019";"120,00";"PETI";
"GO";"10/2021";"120,00";"PETI";
"GO";"12/2021";"120,00";"PETI";
"RR";"05/2018";"120,00";"PETI";
"GO";"11/2021";"120,00";"PETI";
"MS";"11/2017";"122,51";"Seguro Defeso";
"SC";"04/2020";"125,00";"PETI";
"PI";"09/2018";"125,00";"PETI";
"AL";"10/2018";"125,00";"PETI";
"ES";"09/2018";"125,00";"PETI";
"AM";"01/2017";"125,00";"PETI";
"AL";"09/2018";"125,00";"PETI";
"PI";"08/2018";"125,00";"PETI";
"SC";"03/2020";"125,00";"PETI";
"MA";"04/2018";"125,00";"PETI";
"PI";"06/2018";"125,00";"PETI";
"PE";"08/2019";"125,00";"PETI";
"PI";"07/2018";"125,00";"PETI";
"SC";"06/2020";"125,00";"PETI";
"PE";"07/2019";"125,00";"PETI";
"PB";"06/2020";"125,00";"PETI";
"AM";"11/2016";"125,00";"PETI";
"SC";"05/2020";"125,00";"PETI";
"MA";"05/2018";"125,00";"PETI";
"TO";"05/2018";"125,00";"PETI";
"MG";"07/2019";"125,00";"PETI";
"PI";"05/2018";"125,00";"PETI";
"PB";"05/2020";"125,00";"PETI";
"MS";"05/2019";"130,00";"PETI";
"MS";"04/2019";"130,00";"PETI";
"MS";"03/2019";"130,00";"PETI";
"MS";"06/2019";"130,00";"PETI";
"SP";"07/2019";"130,00";"PETI";
"RS";"04/2019";"140,00";"PETI";
"BA";"08/2019";"140,00";"PETI";
"BA";"12/2019";"140,00";"PETI";
"BA";"01/2020";"140,00";"PETI";
"BA";"03/2020";"140,00";"PETI";
"MT";"04/2019";"140,00";"PETI";
"BA";"07/2020";"140,00";"PETI";
"BA";"08/2020";"140,00";"PETI";
"BA";"02/2020";"140,00";"PETI";
"BA";"10/2019";"140,00";"PETI";
"BA";"04/2020";"140,00";"PETI";
"BA";"09/2019";"140,00";"PETI";
"BA";"10/2020";"140,00";"PETI";
"BA";"09/2020";"140,00";"PETI";
"BA";"11/2019";"140,00";"PETI";
"BA";"07/2019";"140,00";"PETI";
"BA";"06/2020";"140,00";"PETI";
"BA";"05/2020";"140,00";"PETI";
"RN";"08/2019";"145,00";"PETI";
"RN";"07/2019";"145,00";"PETI";
"PB";"03/2020";"150,00";"PETI";
"RJ";"12/2018";"150,00";"PETI";
"MG";"05/2019";"150,00";"PETI";
"PB";"04/2020";"150,00";"PETI";
"PB";"01/2020";"150,00";"PETI";
"MG";"04/2019";"150,00";"PETI";
"PB";"12/2019";"150,00";"PETI";
"PI";"04/2018";"150,00";"PETI";
"PB";"02/2020";"150,00";"PETI";
"MA";"01/2018";"150,00";"PETI";
"MA";"02/2018";"150,00";"PETI";
"PI";"03/2018";"150,00";"PETI";
"MA";"03/2018";"150,00";"PETI";
"MG";"06/2019";"150,00";"PETI";
"AM";"10/2016";"150,00";"PETI";
"PB";"11/2019";"150,00";"PETI";
"SP";"05/2019";"155,00";"PETI";
"SP";"06/2019";"155,00";"PETI";
"PR";"09/2021";"160,00";"PETI";
"GO";"05/2021";"160,00";"PETI";
"GO";"06/2021";"160,00";"PETI";
"PR";"08/2021";"160,00";"PETI";
"GO";"07/2021";"160,00";"PETI";
"PR";"10/2021";"160,00";"PETI";
"GO";"08/2021";"160,00";"PETI";
"SC";"01/2020";"165,00";"PETI";
"SC";"12/2019";"165,00";"PETI";
"SC";"02/2020";"165,00";"PETI";
"MT";"03/2019";"165,00";"PETI";
"RS";"02/2019";"165,00";"PETI";
"RS";"03/2019";"165,00";"PETI";
"MS";"02/2019";"170,00";"PETI";
"RO";"09/2017";"170,00";"PETI";
"AL";"02/2016";"170,00";"Garantia-Safra";
"ES";"08/2018";"175,00";"PETI";
"PI";"01/2018";"175,00";"PETI";
"RJ";"10/2018";"175,00";"PETI";
"MG";"03/2019";"175,00";"PETI";
"PE";"04/2019";"175,00";"PETI";
"PE";"05/2019";"175,00";"PETI";
"PE";"03/2019";"175,00";"PETI";
"AL";"08/2018";"175,00";"PETI";
"MA";"12/2017";"175,00";"PETI";
"TO";"04/2018";"175,00";"PETI";
"PI";"02/2018";"175,00";"PETI";
"ES";"07/2018";"175,00";"PETI";
"PE";"06/2019";"175,00";"PETI";
"RJ";"11/2018";"175,00";"PETI";
"SP";"04/2019";"180,00";"PETI";
"PA";"08/2019";"185,00";"PETI";
"PA";"09/2019";"185,00";"PETI";
"PA";"06/2019";"185,00";"PETI";
"PA";"07/2019";"185,00";"PETI";
"SC";"11/2019";"190,00";"PETI";
"RN";"05/2019";"195,00";"PETI";
"RN";"04/2019";"195,00";"PETI";
"RN";"06/2019";"195,00";"PETI";
"RR";"12/2017";"200,00";"PETI";
"RR";"01/2018";"200,00";"PETI";
"RR";"03/2018";"200,00";"PETI";
"PI";"12/2017";"200,00";"PETI";
"GO";"03/2021";"200,00";"PETI";
"RJ";"09/2018";"200,00";"PETI";
"RR";"02/2018";"200,00";"PETI";
"GO";"04/2021";"200,00";"PETI";
"AL";"07/2018";"200,00";"PETI";
"RR";"10/2017";"200,00";"PETI";
"AL";"06/2018";"200,00";"PETI";
"RR";"11/2017";"200,00";"PETI";
"MA";"11/2017";"200,00";"PETI";
"RS";"01/2019";"205,00";"PETI";
"MT";"01/2019";"215,00";"PETI";
"ES";"06/2018";"215,00";"PETI";
"MT";"02/2019";"215,00";"PETI";
"CE";"10/2018";"220,00";"PETI";
"RN";"03/2019";"220,00";"PETI";
"RN";"02/2019";"220,00";"PETI";
"CE";"11/2018";"220,00";"PETI";
"AL";"01/2018";"225,00";"PETI";
"PR";"05/2021";"225,00";"PETI";
"PB";"10/2019";"225,00";"PETI";
"PR";"04/2021";"225,00";"PETI";
"PR";"07/2021";"225,00";"PETI";
"PR";"02/2021";"225,00";"PETI";
"AL";"04/2018";"225,00";"PETI";
"AL";"03/2018";"225,00";"PETI";
