"UF";"Mês/Ano";"Valor Transferido";"Programa Social";
"MG";"03/2015";"176.947.748,00";"Bolsa Família";
"SP";"09/2013";"176.971.672,00";"Bolsa Família";
"MG";"01/2015";"177.340.388,00";"Bolsa Família";
"CE";"05/2015";"177.358.845,00";"Bolsa Família";
"MG";"02/2015";"177.515.287,00";"Bolsa Família";
"CE";"04/2015";"177.528.303,00";"Bolsa Família";
"SP";"07/2013";"177.940.188,00";"Bolsa Família";
"PE";"11/2015";"177.996.247,00";"Bolsa Família";
"MA";"11/2015";"179.049.394,00";"Bolsa Família";
"PE";"12/2015";"179.455.100,00";"Bolsa Família";
"MG";"12/2014";"179.946.751,00";"Bolsa Família";
"MA";"12/2015";"180.221.042,00";"Bolsa Família";
"PE";"10/2015";"180.526.088,00";"Bolsa Família";
"MA";"10/2015";"180.821.942,00";"Bolsa Família";
"PE";"09/2015";"181.108.165,00";"Bolsa Família";
"SP";"05/2014";"181.240.896,00";"Bolsa Família";
"MG";"10/2014";"181.339.206,00";"Bolsa Família";
"MG";"11/2014";"181.527.066,00";"Bolsa Família";
"MA";"09/2015";"181.550.201,00";"Bolsa Família";
"PE";"08/2015";"181.702.565,00";"Bolsa Família";
"CE";"03/2015";"181.847.222,00";"Bolsa Família";
"MG";"09/2014";"181.959.419,00";"Bolsa Família";
"MG";"08/2014";"182.016.350,00";"Bolsa Família";
"CE";"01/2015";"182.083.648,00";"Bolsa Família";
"CE";"02/2015";"182.247.271,00";"Bolsa Família";
"MG";"06/2014";"182.270.510,00";"Bolsa Família";
"SP";"11/2013";"182.671.725,00";"Bolsa Família";
"PE";"07/2015";"183.080.672,00";"Bolsa Família";
"PE";"06/2015";"183.451.602,00";"Bolsa Família";
"PE";"04/2015";"183.592.711,00";"Bolsa Família";
"CE";"12/2014";"183.823.035,00";"Bolsa Família";
"PE";"05/2015";"183.957.269,00";"Bolsa Família";
"CE";"06/2014";"184.656.687,00";"Bolsa Família";
"CE";"11/2014";"184.667.859,00";"Bolsa Família";
"SP";"01/2014";"184.777.770,00";"Bolsa Família";
"CE";"10/2014";"184.892.833,00";"Bolsa Família";
"SP";"03/2014";"184.947.290,00";"Bolsa Família";
"MG";"07/2014";"185.119.194,00";"Bolsa Família";
"CE";"08/2014";"185.206.568,00";"Bolsa Família";
"CE";"09/2014";"185.262.607,00";"Bolsa Família";
"MA";"08/2015";"185.584.344,00";"Bolsa Família";
"SP";"04/2014";"185.779.992,00";"Bolsa Família";
"SP";"12/2013";"185.832.791,00";"Bolsa Família";
"SP";"02/2014";"186.483.736,00";"Bolsa Família";
"MA";"07/2015";"186.989.268,00";"Bolsa Família";
"CE";"07/2014";"187.138.477,00";"Bolsa Família";
"PE";"06/2014";"187.679.045,00";"Bolsa Família";
"MA";"06/2015";"187.716.185,00";"Bolsa Família";
"PE";"01/2015";"188.218.732,00";"Bolsa Família";
"PE";"03/2015";"188.252.453,00";"Bolsa Família";
"MA";"04/2015";"188.275.797,00";"Bolsa Família";
"PE";"02/2015";"188.397.871,00";"Bolsa Família";
"MA";"06/2014";"188.448.389,00";"Bolsa Família";
"MA";"05/2015";"188.452.433,00";"Bolsa Família";
"PE";"12/2014";"189.802.558,00";"Bolsa Família";
"MA";"01/2015";"190.069.750,00";"Bolsa Família";
"MA";"03/2015";"190.178.697,00";"Bolsa Família";
"MA";"02/2015";"190.232.794,00";"Bolsa Família";
"PE";"11/2014";"190.400.493,00";"Bolsa Família";
"PE";"08/2014";"190.475.002,00";"Bolsa Família";
"PE";"10/2014";"190.570.038,00";"Bolsa Família";
"PE";"09/2014";"190.674.444,00";"Bolsa Família";
"MA";"12/2014";"191.177.016,00";"Bolsa Família";
"MA";"08/2014";"191.561.482,00";"Bolsa Família";
"MA";"11/2014";"191.585.728,00";"Bolsa Família";
"MA";"10/2014";"191.655.080,00";"Bolsa Família";
"MA";"09/2014";"191.916.597,00";"Bolsa Família";
"PE";"07/2014";"192.085.448,00";"Bolsa Família";
"MA";"07/2014";"193.508.297,00";"Bolsa Família";
"SP";"08/2014";"197.934.327,00";"Bolsa Família";
"SP";"10/2014";"198.062.636,00";"Bolsa Família";
"SP";"09/2014";"198.707.034,00";"Bolsa Família";
"SP";"01/2015";"200.835.265,00";"Bolsa Família";
"SP";"11/2014";"202.655.806,00";"Bolsa Família";
"SP";"03/2015";"202.961.090,00";"Bolsa Família";
"SP";"12/2014";"203.414.518,00";"Bolsa Família";
"SP";"02/2015";"203.673.811,00";"Bolsa Família";
"SP";"07/2014";"203.943.337,00";"Bolsa Família";
"SP";"05/2015";"204.925.424,00";"Bolsa Família";
"SP";"04/2015";"206.100.433,00";"Bolsa Família";
"SP";"06/2015";"206.380.999,00";"Bolsa Família";
"SP";"06/2014";"207.182.630,00";"Bolsa Família";
"SP";"11/2015";"209.505.359,00";"Bolsa Família";
"SP";"08/2015";"211.200.956,00";"Bolsa Família";
"SP";"07/2015";"212.673.749,00";"Bolsa Família";
"SP";"12/2015";"212.888.004,00";"Bolsa Família";
"SP";"10/2015";"213.886.880,00";"Bolsa Família";
"SP";"09/2015";"215.795.690,00";"Bolsa Família";
"BA";"02/2013";"256.704.897,00";"Bolsa Família";
"BA";"01/2013";"257.433.917,00";"Bolsa Família";
"BA";"05/2014";"269.058.786,00";"Bolsa Família";
"BA";"04/2013";"271.073.091,00";"Bolsa Família";
"BA";"03/2014";"271.847.198,00";"Bolsa Família";
"BA";"06/2013";"271.991.814,00";"Bolsa Família";
"BA";"04/2014";"272.099.692,00";"Bolsa Família";
"BA";"05/2013";"272.967.379,00";"Bolsa Família";
"BA";"03/2013";"273.065.683,00";"Bolsa Família";
"BA";"01/2014";"273.253.302,00";"Bolsa Família";
"BA";"02/2014";"273.987.890,00";"Bolsa Família";
"BA";"07/2013";"274.499.264,00";"Bolsa Família";
"BA";"11/2013";"274.645.805,00";"Bolsa Família";
"BA";"08/2013";"275.608.186,00";"Bolsa Família";
"BA";"09/2013";"276.294.628,00";"Bolsa Família";
"BA";"10/2013";"276.539.326,00";"Bolsa Família";
"BA";"12/2013";"276.757.279,00";"Bolsa Família";
"BA";"11/2015";"293.133.589,00";"Bolsa Família";
"BA";"12/2015";"295.855.438,00";"Bolsa Família";
"BA";"10/2015";"297.106.694,00";"Bolsa Família";
"BA";"09/2015";"298.127.610,00";"Bolsa Família";
"BA";"08/2015";"298.643.490,00";"Bolsa Família";
"BA";"06/2015";"299.064.640,00";"Bolsa Família";
"BA";"07/2015";"300.603.235,00";"Bolsa Família";
"BA";"04/2015";"301.180.624,00";"Bolsa Família";
"BA";"05/2015";"301.329.835,00";"Bolsa Família";
"BA";"06/2014";"304.652.328,00";"Bolsa Família";
"BA";"01/2015";"304.891.965,00";"Bolsa Família";
"BA";"03/2015";"304.904.293,00";"Bolsa Família";
"BA";"02/2015";"305.324.457,00";"Bolsa Família";
"BA";"12/2014";"307.377.376,00";"Bolsa Família";
"BA";"11/2014";"308.615.372,00";"Bolsa Família";
"BA";"10/2014";"309.050.118,00";"Bolsa Família";
"BA";"09/2014";"310.134.636,00";"Bolsa Família";
"BA";"08/2014";"310.182.542,00";"Bolsa Família";
"BA";"07/2014";"311.759.679,00";"Bolsa Família";
